first;second;tupleType;plagType;plagTypeGroup;tool;avg similarity;max similarity
2023-3-PLAG-A;2023-3;Plag-Original;2023-3;2023-3;JPlag;91.72932330827066;95.3125
2018-3;2018-3-PLAG-C;Plag-Original;2018-3;2018-3;JPlag;91.13924050632912;91.52542372881356
2018-3-PLAG-B;2018-3;Plag-Original;2018-3;2018-3;JPlag;90.04329004329004;92.03539823008849
2018-3-PLAG-A;2018-3-PLAG-C;Plag-Plag;2018-3;2018-3;JPlag;89.56521739130436;92.7927927927928
2023-1-PLAG-A;2023-1;Plag-Original;2023-1;2023-1;JPlag;89.44723618090453;92.70833333333334
2023-3;2023-3-PLAG-B;Plag-Original;2023-3;2023-3;JPlag;89.3470790378007;94.20289855072464
2018-3-PLAG-A;2018-3-PLAG-B;Plag-Plag;2018-3;2018-3;JPlag;89.28571428571429;90.09009009009009
2023-2;2023-2-PLAG-C;Plag-Original;2023-2;2023-2;JPlag;86.95652173913044;86.95652173913044
2018-3-PLAG-A;2018-3;Plag-Original;2018-3;2018-3;JPlag;86.46288209606988;89.1891891891892
2023-2;2023-2-PLAG-A;Plag-Original;2023-2;2023-2;JPlag;86.02150537634408;86.95652173913044
2023-2-PLAG-C;2023-2-PLAG-A;Plag-Plag;2023-2;2023-2;JPlag;83.15412186379928;84.05797101449275
2023-1;2023-1-PLAG-A;Plag-Original;2023-1;2023-1;JPlag;78.67298578199052;80.58252427184466
2018-3-PLAG-B;2018-3-PLAG-C;Plag-Plag;2018-3;2018-3;JPlag;77.58620689655173;79.64601769911505
2023-3-PLAG-A;2023-3-PLAG-B;Plag-Plag;2023-3;2023-3;JPlag;70.46263345195729;77.34375
2023-1-PLAG-A;2023-1-PLAG-A;Plag-Plag;2023-1;2023-1;JPlag;69.6078431372549;73.95833333333334
2023-2-PLAG-B;2023-2-PLAG-A;Plag-Plag;2023-2;2023-2;JPlag;48.0;49.25373134328358
2023-2-PLAG-B;2023-2;Plag-Original;2023-2;2023-2;JPlag;47.05882352941176;47.76119402985074
2021-2;2016-1;Original-Original;;;JPlag;44.666666666666664;51.14503816793893
2023-2-PLAG-B;2023-2-PLAG-C;Plag-Plag;2023-2;2023-2;JPlag;42.64705882352941;43.28358208955223
2023-3;2022-1;Original-Original;;;JPlag;40.76433121019109;46.3768115942029
2017-1;2021-2;Original-Original;;;JPlag;34.92063492063492;36.36363636363637
2017-1;2016-1;Original-Original;;;JPlag;33.10344827586207;39.66942148760331
2021-3;2022-1;Original-Original;;;JPlag;32.79742765273312;37.77777777777778
2018-5;2019-2;Original-Original;;;JPlag;32.121212121212125;34.41558441558442
2021-3;2018-5;Original-Original;;;JPlag;31.141868512110726;33.33333333333333
2018-3;2020-2;Original-Original;;;JPlag;30.075187969924812;33.89830508474576
2021-3;2023-3;Original-Original;;;JPlag;30.036630036630036;30.37037037037037
2020-1;2016-1;Original-Original;;;JPlag;28.093645484949832;32.30769230769231
2019-1;2019-3;Original-Original;;;JPlag;28.08219178082192;30.82706766917293
2018-3;2019-2;Original-Original;;;JPlag;27.89115646258503;34.74576271186441
2019-4;2023-3;Original-Original;;;JPlag;27.77777777777778;30.701754385964914
2017-3;2023-3;Original-Original;;;JPlag;27.027027027027028;28.92561983471074
2018-3;2019-1;Original-Original;;;JPlag;26.294820717131472;27.966101694915253
2019-3;2016-1;Original-Original;;;JPlag;26.21951219512195;27.044025157232703
2021-2;2019-3;Original-Original;;;JPlag;26.20689655172414;29.00763358778626
2023-2;2023-3;Original-Original;;;JPlag;26.08695652173913;26.08695652173913
2019-4;2016-2;Original-Original;;;JPlag;25.910931174089068;28.07017543859649
2021-3;2019-2;Original-Original;;;JPlag;25.723472668810288;29.629629629629626
2017-3;2022-3;Original-Original;;;JPlag;25.547445255474454;28.92561983471074
2017-2;2019-1;Original-Original;;;JPlag;25.296442687747035;26.666666666666668
2018-3;2017-3;Original-Original;;;JPlag;25.10460251046025;25.423728813559322
2016-1;2022-1;Original-Original;;;JPlag;24.92753623188406;25.443786982248522
2023-3;2018-5;Original-Original;;;JPlag;24.65753424657534;26.08695652173913
2017-3;2019-1;Original-Original;;;JPlag;24.409448818897637;25.6198347107438
2021-3;2020-2;Original-Original;;;JPlag;24.02826855123675;25.185185185185183
2018-5;2022-1;Original-Original;;;JPlag;23.636363636363637;25.324675324675322
2016-2;2019-1;Original-Original;;;JPlag;23.308270676691727;23.308270676691727
