Participant,ChangeNameClassCosmetic,ChangeNameClassMinor,ChangeNameClassMajor,ChangeNameEditSuffixPrefix,ChangeOrderClassWithinPackage,MoveClassToNewPackage,MoveClassFrom DeletedPackage,AddPackage,DeletePackage,AddElementClassAbstract,AddElementClassDuplicates (excl AddElementClassAbstract),ChangeInheritance,DeleteAttribute,ChangeNameRelationMinor,ChangeNameRelationMajor,DeleteClassAbstract, DeleteClass,RemoveInheritance,ChangeNamePackageMajor,ChangeNamePackageMinor,ChangeOrderRelations,RemoveOrderedPropertyRelations, RemoveAbstractProperty,RemoveRelation,MoveClassToDifferentPackage, ChangeCardinalityRelation,RemoveRelationToDeletedClass,AddRelation,AddElementClass,AddInheritanceToNewElement,AddRelationToNewClass
10,0,3,0,6,13,5,5,2,2,2,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,40,0,14,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,9,0,0,27,14,1,1,1,0,0,0,0,0,0,0,0,0,1,0,10,22,5,0,0,0,0,0,0,0,0
8,0,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,0,5,1,0,0,0,1,0,1,0,0,0,0,6,0,0,3,0,0,2,0,0,1,5,0,2,2,1,0,0,0
1,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,8,0,0,0,1,1,3,1
2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0
3,0,1,29,5,0,0,0,0,0,2,0,1,0,1,31,1,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0
4,1,5,0,6,3,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
